Timestamp,Total URLs,Success Rate (%),OpenAI Cost (USD),Execution Time (s),Avg Time per URL (s)
2025-11-28 18:01:43,454,43.6,1.8287,,
2025-12-01 19:47:22,1000,53.3,4.1596,,
2025-12-01 20:06:42,1,100.0,0.0179,,
2025-12-03 16:53:50,973,80.1,5.6757,,
2025-12-03 17:02:20,973,75.3,5.1666,,
2025-12-08 15:03:09,973,79.8,5.9582,,
2025-12-08 15:32:08,973,49.8,4.2085,,
2025-12-08 15:32:09,973,49.6,4.2200,,
2026-01-07 14:56:13,1000,88.7,6.8370,,
2026-01-07 16:01:29,18,94.4,0.0584,139.35,8.20
2026-01-07 16:20:04,14,92.9,0.0368,34.61,2.66
2026-01-07 18:25:36,9999,92.0,26.8581,17667.62,1.92
